Frame	Density (g/cm^3)
256	0.987238755691174
257	0.9824689952813509
258	0.983800325970467
259	0.9902605772508196
260	0.9920134787239124
261	0.982861977664418
262	0.9795622933432416
263	1.0009229982079926
264	0.9867865835150645
265	0.9792254722179272
266	0.9849690579882107
267	0.9820773425056949
268	0.9861022959217515
269	0.9891910453837419
270	0.9869178769562902
271	0.9842837477579243
272	0.9911777673238873
273	0.9827456978530527
274	0.9891274850152263
275	0.9988406316005919
276	0.9956181603823916
277	0.9998345796832234
278	0.9998661256922197
279	0.9979434889561574
280	1.002519419976895
281	1.001889638794339
282	0.9988870230710956
283	1.0082709900812212
284	1.0080077636832627
285	1.000709201349815
286	1.0180588462177351
287	1.0128651707066512
288	1.006895327740849
289	1.0089799310924454
290	1.0192098358017674
291	1.0036670349225738
292	1.0144795317979138
